customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C-00017,Male,0,No,Yes,32,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),68.12,2175.06,No
C-00018,Male,0,Yes,No,57,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),56.38,3203.09,No
C-00019,Male,0,No,Yes,21,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,115.21,2410.49,No
C-00020,Female,0,No,No,48,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),33.92,1607.1,No
C-00021,Male,0,No,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,53.42,3104.43,No
C-00022,Female,0,No,No,41,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,59.95,2463.78,Yes
C-00023,Female,0,No,No,59,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,57.07,3382.97,Yes
C-00024,Male,0,No,Yes,14,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,84.58,1188.27,No
C-00025,Male,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),39.55,2419.1,No
C-00026,Female,0,No,No,61,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,40.11,2445.89,Yes
C-00027,Female,0,No,Yes,46,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,90.92,4186.97,Yes
C-00028,Female,0,No,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),68.03,4160.73,No
C-00029,Female,0,Yes,Yes,50,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,59.52,2977.81,Yes
C-00030,Male,0,Yes,Yes,54,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.92,1880.47,No
C-00031,Male,0,Yes,Yes,63,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,36.75,2313.05,Yes
C-00032,Male,0,No,Yes,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.06,45.64,No
C-00033,Male,0,No,No,50,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),27.14,1352.09,No
C-00034,Male,1,No,Yes,6,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),73.68,450.97,No
C-00035,Female,0,No,No,20,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Credit card (automatic),107.19, ,No
C-00036,Female,0,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,46.72,1784.37,No
C-00037,Male,0,Yes,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,50.77,870.56,Yes
C-00038,Male,0,No,Yes,3,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,29.56,92.16,No
C-00039,Female,0,No,No,59,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Credit card (automatic),56.86,3346.97,No
C-00040,Female,0,No,Yes,13,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),21.72,273.68,Yes
C-00041,Male,1,No,No,8,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),109.76,869.3,No
C-00042,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),85.31,4441.67,No
C-00043,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),117.07,113.18,No
C-00044,Male,0,Yes,Yes,59,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,106.28,6270.23,No
C-00045,Male,0,No,No,70,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,65.3,4575.19,No
C-00046,Female,1,Yes,No,43,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,69.97,3000.31,No
C-00047,Female,0,No,No,7,No,No phone service,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,37.06,254.4,No
C-00048,Female,0,No,Yes,46,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,64.2,2956.43,No
C-00049,Male,0,No,Yes,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,108.3,3679.29,Yes
C-00050,Female,0,Yes,No,35,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),23.09,806.18,Yes
C-00051,Male,1,No,No,49,No,No phone service,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,104.36,5103.31,No
C-00052,Female,0,Yes,No,3,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,52.09,154.43,No
C-00053,Male,1,No,No,1,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),107.95,124.47,No
C-00054,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,112.09,555.99,No
C-00055,Female,1,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,85.09,4498.3,No
C-00056,Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),84.44,262.9,No
C-00057,Male,1,Yes,Yes,53,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,63.28,3359.07,No
C-00058,Female,0,No,Yes,62,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,101.55,6298.23,No
C-00059,Male,0,Yes,Yes,17,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,114.16,1927.53,No
C-00060,Female,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),95.51,4095.16,Yes
C-00061,Male,0,No,No,33,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,80.19,2630.9,Yes
C-00062,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),78.68,4803.8,No
C-00063,Female,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,102.95,1348.55,No
C-00064,Male,0,No,Yes,47,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),72.12,3394.29,Yes
C-00065,Female,1,Yes,No,14,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,98.39,1396.96,Yes
C-00066,Female,1,Yes,No,71,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,68.89,4886.77,No
C-00067,Male,1,No,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,24.24,1475.4,No
C-00068,Female,0,No,No,39,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,56.39,2200.28,No
C-00069,Female,0,Yes,Yes,52,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,62.44,3244.59,No
C-00070,Female,0,Yes,Yes,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),32.16,744.67,Yes
C-00071,Female,0,Yes,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.25,699.85,No
C-00072,Male,1,Yes,No,59,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),71.55,4207.5,No
C-00073,Female,1,Yes,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,26.51,1042.51,No
C-00074,Female,0,No,No,28,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,48.29,1356.93,No
C-00075,Female,1,Yes,Yes,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,92.46,1289.18,No
C-00076,Male,0,Yes,Yes,44,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,114.44,5023.66,No
C-00077,Male,0,No,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),89.79,5740.37,No
C-00078,Female,1,No,No,70,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),117.26,8227.73,No
C-00079,Female,0,Yes,No,8,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,87.83,691.53,Yes
C-00080,Male,0,No,No,0,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),47.38,,Yes
C-00081,Female,0,Yes,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,85.21,600.68,No
C-00082,Female,0,No,No,62,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),88.22,5483.05,No
C-00083,Female,0,No,Yes,10,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,55.17,550.47,No
C-00084,Female,0,No,No,7,No,No phone service,DSL,No,No,Yes,Yes,No,Yes,One year,No,Electronic check,19.77,122.79,No
C-00085,Male,0,No,No,34,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),88.32,3012.81,No
C-00086,Male,0,No,No,34,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),20.17,683.28,No
C-00087,Male,0,Yes,No,32,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),81.12,2608.58,No
C-00088,Male,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),34.36,145.6,No
C-00089,Male,0,No,No,40,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,74.56, ,No
C-00090,Female,0,No,No,27,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,68.39,1870.21,No
C-00091,Male,0,No,Yes,6,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),19.35,118.92,No
C-00092,Female,1,No,No,71,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),54.29,3869.02,No
C-00093,Male,0,Yes,Yes,11,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),78.11,855.16,No
C-00094,Female,1,No,No,33,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,102.86,3399.79,Yes
C-00095,Male,0,No,Yes,32,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,106.86,3414.5,No
C-00096,Male,0,Yes,Yes,47,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),66.38,3124.65,No
C-00097,Female,0,No,Yes,22,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),90.84,2002.23,No
C-00098,Female,0,Yes,Yes,61,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.65,3008.04,Yes
C-00099,Female,0,No,No,36,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,52.22,1873.8,No
C-00100,Male,0,No,Yes,43,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,37.45,1612.65,No
C-00101,Male,0,Yes,No,34,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,74.19,2499.89,Yes
C-00102,Female,0,No,No,64,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.46,3164.48,No
C-00103,Male,0,Yes,No,46,Yes,No,DSL,No,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),26.44,1226.32,No
C-00104,Female,0,Yes,No,2,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Mailed check,86.5,186.0,No
C-00105,Male,0,Yes,Yes,0,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,88.78,,Yes
C-00106,Female,0,Yes,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,54.0,229.64,No
C-00107,Female,0,No,Yes,13,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,25.67,345.79,No
C-00108,Male,0,No,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),60.63,1554.9,No
C-00109,Female,0,Yes,No,8,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),62.23,499.0,No
C-00110,Male,0,Yes,No,14,Yes,No,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),84.87,1190.44,No
C-00111,Male,0,Yes,Yes,41,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),49.54,2046.33,No
C-00112,Male,1,Yes,Yes,50,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,86.26,4315.86,Yes
C-00113,Female,0,Yes,Yes,62,No,No phone service,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,105.15,6533.24,No
C-00114,Female,0,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),41.75,2121.44,No
C-00115,Female,0,No,Yes,3,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Electronic check,115.89,331.69,No
C-00116,Male,0,Yes,No,22,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),56.64,1239.6,No
C-00117,Male,1,No,Yes,14,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,44.73,641.99,No
C-00118,Female,0,No,Yes,42,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Bank transfer (automatic),60.15,2535.56,No
C-00119,Male,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),27.44,791.54,Yes
C-00120,Male,0,No,Yes,35,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,30.57,1055.52,Yes
C-00121,Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,59.44,723.69,No
C-00122,Female,0,Yes,Yes,31,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,94.24,2928.99,Yes
C-00123,Female,0,No,No,70,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),108.03,7559.25,No
C-00124,Female,0,No,No,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),84.48,4907.6,No
C-00125,Male,0,Yes,No,27,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),28.52,771.44,No
C-00126,Male,0,No,Yes,65,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.2,5542.6,Yes
C-00127,Female,0,Yes,No,41,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,81.54,3349.95,No
C-00128,Female,0,Yes,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.58,4347.32,No
C-00129,Female,0,Yes,Yes,61,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,100.52,6132.59,No
C-00130,Male,0,Yes,No,56,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.82,5887.69,Yes
C-00131,Female,0,Yes,No,5,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,59.41,294.89,Yes
C-00132,Female,0,Yes,Yes,27,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,87.79,2389.17,No
C-00133,Female,0,Yes,Yes,27,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),44.83,1199.13,No
C-00134,Male,0,No,No,43,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,117.93,5061.14,No
C-00135,Female,0,No,Yes,29,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,35.53,1021.1,No
C-00136,Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),19.01,1169.18,No
C-00137,Female,0,No,No,61,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,32.88,1997.63,No
C-00138,Male,0,No,Yes,0,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,95.59,,No
C-00139,Female,0,Yes,Yes,26,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),62.68,1624.42,No
C-00140,Female,0,Yes,No,61,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,62.75,3831.74,Yes
C-00141,Male,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,113.5,233.4,No
C-00142,Female,0,Yes,No,69,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,109.96,7577.08,No
C-00143,Female,1,No,No,71,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,49.12,3473.61,No
C-00144,Female,0,Yes,Yes,26,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,38.91,1014.49,Yes
C-00145,Female,0,Yes,No,8,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),102.85,820.03,No
C-00146,Male,0,Yes,Yes,61,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,108.6,6629.58,No
C-00147,Male,0,Yes,No,36,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,72.16,2584.3,No
C-00148,Male,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),80.94,4043.43,No
C-00149,Male,0,Yes,Yes,43,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,43.69,1876.85,No
C-00150,Male,0,Yes,Yes,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),98.08,2231.47,No
C-00151,Male,0,Yes,No,58,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),81.21,4720.13,No
C-00152,Male,1,No,No,31,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,68.35,2111.28,No
C-00153,Male,0,No,No,51,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),24.01,1239.5,No
C-00154,Female,1,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,109.59, ,Yes
C-00155,Female,1,Yes,Yes,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),79.55,4529.14,No
C-00156,Male,0,Yes,Yes,51,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Electronic check,37.27,1888.35,Yes
C-00157,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,78.64,876.51,No
C-00158,Male,0,No,Yes,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),85.75,3263.04,No
C-00159,Female,1,No,Yes,1,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),70.58,84.58,Yes
C-00160,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,89.81,177.55,No
C-00161,Male,0,Yes,No,55,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),76.15,4187.83,No
C-00162,Male,0,No,Yes,58,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),112.78,6524.42,No
C-00163,Male,0,Yes,No,1,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),23.37,17.13,No
C-00164,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),28.62,30.32,Yes
C-00165,Male,0,No,Yes,53,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),35.37,1878.48,No
C-00166,Female,1,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,No,Mailed check,87.02,,No
C-00167,Female,0,No,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,82.56,1467.57,No
C-00168,Female,1,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),107.21,109.5,Yes
C-00169,Male,0,Yes,No,52,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),91.29,4743.32,No
C-00170,Female,1,No,No,43,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,68.84,2960.88,Yes
C-00171,Male,0,No,Yes,31,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),117.18,3633.61,No
C-00172,Male,0,No,No,69,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),44.61,3076.18,No
C-00173,Male,0,No,No,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,101.32,3129.59,No
C-00174,Male,0,No,No,67,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Electronic check,60.68,4052.37,No
C-00175,Male,1,No,No,54,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),82.87,4472.33,Yes
C-00176,Male,0,Yes,Yes,55,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,90.73,4975.94,No
C-00177,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),81.38,1300.95,No
C-00178,Male,0,No,No,37,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,32.05, ,No
