show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s112,Movie,The Irishman 35,Guillermo del Toro,"Brad Pitt, Meryl Streep, Leonardo DiCaprio",India,"December 10, 2014",2013,TV-14,113 min,Thrillers,A story about The.
s113,TV Show,Bird Box 36,Alfonso Cuarón,"Brad Pitt, Jennifer Aniston, Tom Hanks, Cate Blanchett",United States,"January 9, 2012",2011,TV-PG,3 Season,Children & Family Movies,A story about Bird.
s114,TV Show,Extraction 33,Martin Scorsese,"Meryl Streep, Cate Blanchett, Jennifer Aniston",Canada,"January 12, 2010",2008,TV-PG,3 Season,"Dramas, Sci-Fi & Fantasy",A story about Extraction.
s115,TV Show,The Old Guard 41,Ava DuVernay,"Cate Blanchett, Brad Pitt, Leonardo DiCaprio",United Kingdom,"June 2, 2014",2012,TV-14,5 Season,Romantic Movies,A story about The.
s116,Movie,Bright 28,Guillermo del Toro,"Meryl Streep, Tom Hanks, Leonardo DiCaprio, Brad Pitt",United Kingdom,"November 22, 2018",2016,PG-13,148 min,"Documentaries, Children & Family Movies",A story about Bright.
s117,TV Show,Triple Frontier 1,,"Tom Hanks, Meryl Streep, Cate Blanchett",United States,"July 13, 2014",2012,TV-PG,5 Season,Comedies,A story about Triple.
s118,Movie,6 Underground 15,Alfonso Cuarón,"Cate Blanchett, Brad Pitt, Jennifer Aniston",Spain,"January 3, 2022",2020,PG-13,138 min,"International Movies, Sci-Fi & Fantasy",A story about 6.
s119,Movie,Project Power 42,Ryan Murphy,"Brad Pitt, Jennifer Aniston",France,"July 21, 2018",2016,TV-14,120 min,"Action & Adventure, Dramas",A story about Project.
s120,Movie,Army of Thieves 33,Ava DuVernay,"Jennifer Aniston, Meryl Streep, Brad Pitt, Leonardo DiCaprio",United Kingdom,"January 6, 2021",2020,TV-PG,159 min,"Documentaries, Comedies",A story about Army.
s121,TV Show,The Crown 37,Guillermo del Toro,"Leonardo DiCaprio, Meryl Streep, Brad Pitt, Jennifer Aniston",United States,"June 12, 2010",2009,R,1 Season,"Romantic Movies, Sci-Fi & Fantasy",A story about The.
s122,Movie,Stranger Things 28,Guillermo del Toro,"Brad Pitt, Leonardo DiCaprio",India,"September 9, 2014",2013,R,96 min,"Action & Adventure, Children & Family Movies",A story about Stranger.
s123,Movie,Breaking Bad 18,Christopher Nolan,,United States,"February 17, 2021",2020,TV-PG,110 min,"Sci-Fi & Fantasy, Comedies",A story about Breaking.
s124,Movie,Narcos 14,,"Cate Blanchett, Jennifer Aniston, Leonardo DiCaprio, Tom Hanks",India,"February 24, 2018",2018,TV-MA,73 min,Sci-Fi & Fantasy,A story about Narcos.
s125,Movie,Dark 49,Martin Scorsese,"Tom Hanks, Jennifer Aniston",United States,"May 23, 2022",2021,TV-MA,143 min,"Romantic Movies, Dramas",A story about Dark.
s126,Movie,Money Heist 26,Guillermo del Toro,"Jennifer Aniston, Cate Blanchett, Meryl Streep",South Korea,"January 18, 2010",2010,R,138 min,"Action & Adventure, Sci-Fi & Fantasy",A story about Money.
s127,TV Show,Squid Game 11,Guillermo del Toro,"Brad Pitt, Cate Blanchett, Meryl Streep",South Korea,"April 19, 2018",2018,TV-PG,1 Season,Dramas,A story about Squid.
s128,TV Show,Ozark 32,,"Leonardo DiCaprio, Brad Pitt",United Kingdom,"February 27, 2016",2015,TV-MA,4 Season,Documentaries,A story about Ozark.
s129,Movie,Mindhunter 27,Guillermo del Toro,"Tom Hanks, Brad Pitt, Jennifer Aniston",United States,"February 22, 2019",2018,PG,177 min,"Sci-Fi & Fantasy, Action & Adventure",A story about Mindhunter.
s130,TV Show,Lupin 23,David Fincher,"Leonardo DiCaprio, Jennifer Aniston",India,"January 8, 2022",2021,TV-14,5 Season,"Action & Adventure, Children & Family Movies",A story about Lupin.
s131,Movie,Inception 11,Ryan Murphy,"Leonardo DiCaprio, Tom Hanks, Meryl Streep, Jennifer Aniston",United States,"July 7, 2016",2014,PG-13,176 min,"Thrillers, Romantic Movies",A story about Inception.
s132,TV Show,The Irishman 45,Martin Scorsese,"Cate Blanchett, Brad Pitt, Jennifer Aniston, Meryl Streep",United States,"November 20, 2013",2013,TV-MA,1 Season,"Documentaries, Children & Family Movies",A story about The.
s133,Movie,Bird Box 34,,"Cate Blanchett, Jennifer Aniston, Brad Pitt, Meryl Streep",United States,"December 11, 2018",2018,TV-MA,115 min,"Dramas, Children & Family Movies",A story about Bird.
s134,Movie,Extraction 39,Guillermo del Toro,"Brad Pitt, Leonardo DiCaprio, Jennifer Aniston, Cate Blanchett",Brazil,"September 12, 2021",2019,PG,174 min,Action & Adventure,A story about Extraction.
s135,TV Show,The Old Guard 19,David Fincher,"Leonardo DiCaprio, Cate Blanchett, Meryl Streep, Brad Pitt",South Korea,"June 14, 2017",2015,TV-MA,5 Season,International Movies,A story about The.
s136,Movie,Bright 14,Ava DuVernay,"Brad Pitt, Meryl Streep, Leonardo DiCaprio",South Korea,,2014,TV-MA,87 min,Children & Family Movies,A story about Bright.
s137,Movie,Triple Frontier 28,Guillermo del Toro,"Tom Hanks, Cate Blanchett",United States,"October 4, 2012",2012,TV-14,163 min,"Sci-Fi & Fantasy, International Movies",A story about Triple.
s138,Movie,6 Underground 3,Alfonso Cuarón,"Jennifer Aniston, Leonardo DiCaprio",United States,"May 23, 2022",2021,TV-MA,133 min,Children & Family Movies,A story about 6.
s139,Movie,Project Power 40,Ava DuVernay,"Tom Hanks, Cate Blanchett",India,"June 6, 2012",2010,TV-14,131 min,"Action & Adventure, Dramas",A story about Project.
s140,Movie,Army of Thieves 35,Guillermo del Toro,"Meryl Streep, Jennifer Aniston",United States,"December 10, 2013",2012,TV-14,77 min,Romantic Movies,A story about Army.
s141,Movie,The Crown 4,,"Jennifer Aniston, Brad Pitt, Meryl Streep, Tom Hanks",United States,"July 1, 2021",2021,TV-MA,115 min,"Thrillers, Documentaries",A story about The.
s142,Movie,Stranger Things 16,Guillermo del Toro,"Cate Blanchett, Tom Hanks, Meryl Streep",United States,"January 23, 2022",2020,TV-MA,86 min,Documentaries,A story about Stranger.
s143,Movie,Breaking Bad 31,David Fincher,"Cate Blanchett, Leonardo DiCaprio, Jennifer Aniston",India,"November 4, 2020",2020,PG-13,134 min,Horror Movies,A story about Breaking.
s144,Movie,Narcos 30,Ava DuVernay,"Tom Hanks, Cate Blanchett",South Korea,"January 20, 2011",2010,PG,108 min,"Thrillers, International Movies",A story about Narcos.
s145,Movie,Dark 11,Ava DuVernay,"Tom Hanks, Leonardo DiCaprio, Brad Pitt, Meryl Streep",United States,"June 19, 2013",2012,TV-MA,147 min,Sci-Fi & Fantasy,A story about Dark.
s146,TV Show,Money Heist 35,Christopher Nolan,"Leonardo DiCaprio, Cate Blanchett, Tom Hanks",United States,"January 12, 2019",2018,TV-PG,2 Season,"Dramas, International Movies",A story about Money.
s147,TV Show,Squid Game 27,Martin Scorsese,"Leonardo DiCaprio, Meryl Streep",United States,"March 19, 2015",2013,TV-MA,3 Season,"Romantic Movies, Children & Family Movies",A story about Squid.
s148,Movie,Ozark 7,Alfonso Cuarón,"Cate Blanchett, Jennifer Aniston, Meryl Streep",India,"June 27, 2010",2008,TV-14,102 min,"Thrillers, Documentaries",A story about Ozark.
